Command,Description,Syntax,Parameters,Link,Category,Tags
readarray,Read from stdin into an array variable •," mapfile [-d <i>delim</i>] [-n <i>count</i>] [-O <i>origin</i>] [-s <i>count</i>] [-t] [-u <i>fd</i>] [-C <i>callback</i>] [-c <i>quantum</i>] [<i>array</i>]
 readarray [-d <i>delim</i>] [-n <i>count</i>] [-O <i>origin</i>] [-s <i>count</i>] [-t] [-u <i>fd</i>] [-C <i>callback</i>] [-c <i>quantum</i>] [<i>array</i>]
"," -d The first character of delim is used to terminate each input line, rather than newline.
 If delim is the empty string, mapfile will terminate a line when it reads a NUL character. 
 -n Copy at most <i>count</i> lines. If <i>count</i> is 0, all lines are copied.
 -O Begin assigning to array at index <i>origin</i>. The default index is 0.
 -s Discard the first <i>count</i> lines read.
 -t Remove a trailing newline from each line read.
 -u Read lines from file descriptor <i>fd</i> instead of the standard input.
 -C Evaluate <i>callback</i> each time quantum lines are read. The -c option specifies quantum.
 -c Specify the number of lines read between each call to callback. </pre>
 
",https://ss64.com/bash/mapfile.html,System Utility ,
readonly,Mark variables/functions as readonly," readonly [-aApf] [<i>name</i>] ... 
"," -a Treat each <i>name</i> as an array variable.
 -A restrict the variables to associative arrays.
 -p Print a list of all readonly names (This is the default)
 -f Mark shell functions corresponding to the <i>names</i> as read-only.</pre>
",https://ss64.com/bash/readonly.html,System Administration,
reboot,Reboot the system,Not Available,Not Available,No link available,System Administration,
rename,Rename files," rename <i>from to file...</i></pre>
",Not Available,https://ss64.com/bash/rename.html,File Manipulation,
renice,Alter priority of running processes,Not Available,Not Available,No link available,System Administration,Process management
remsync,Synchronize remote files via email,Not Available,Not Available,No link available,"File Manipulation, Remote Connectivity",File Transfer
return,Exit a shell function," return [<i>n</i>] 
",Not Available,https://ss64.com/bash/return.html,System Utility ,
rev,Reverse lines of a file," rev [<i>file</i>]</pre>
",Not Available,https://ss64.com/bash/rev.html,File Manipulation,
rm,Remove files," rm [<i>options</i>]... <i>file</i>...
",Not Available,https://ss64.com/bash/rm.html,File Manipulation,
rmdir,Remove folder(s)," rmdir [<i>options</i>]... <i>folder(s)</i>...
",Not Available,https://ss64.com/bash/rmdir.html,System Administration,Disk/Volume Management
rsync,Remote file copy (Synchronize file trees)," Local file to Local file:
 rsync [<i>option</i>]... <i>Source</i> [<i>Source</i>]... <i>Dest</i>
 Local to Remote:
 rsync [<i>option</i>]... <i>Source</i> [<i>Source</i>]... [<i>user</i>@]<i>host</i>:<i>Dest</i> #
 rsync [<i>option</i>...] [<i>user</i>@]<i>host</i>::<i>Source</i>... [<i>Dest</i>]
",Not Available,https://ss64.com/bash/rsync.html,"File Manipulation, Remote Connectivity",File Transfer
screen,"Multiplex terminal, run remote shells via ssh"," 
 Start a <i>screen</i> session:
 screen [ -<i>options</i> ] [ <i>cmd</i> [<i>args</i>] ]
 Resume a detached screen session:
 screen -r [[<i>pid</i>.]<i>tty</i>[.<i>host</i>]]
 screen -r <i>sessionowner</i>/[[<i>pid</i>.]<i>tty</i>[.<i>host</i>]]
",Not Available,https://ss64.com/bash/screen.html,"System Administration, Remote Connectivity",ssh
scp,Secure copy (remote file copy)," scp [-1246BCpqrv] [-c <i>cipher</i>] [-F <i>ssh_config</i>] [-i <i>identity_file</i>]
 [-l <i>limit</i>] [-o <i>ssh_option</i>] [-P <i>port</i>] [-S <i>program</i>]
 <b>[</b> [<i>user</i>@]<i>host1</i>:<b>]</b><i>file1</i> [...] <b>[</b> [<i>user</i>@]<i>host2</i>:<b>]</b><i>file2</i></pre>
"," HostKeyAlias
 HostName
 IdentityFile
 IdentitiesOnly
 KbdInteractiveDevices
 LogLevel
 MACs
 NoHostAuthenticationForLocalhost
 NumberOfPasswordPrompts
 PasswordAuthentication
 Port
 PreferredAuthentications
 Protocol
 ProxyCommand
 PubkeyAuthentication
 RekeyLimit
 RhostsRSAAuthentication
 RSAAuthentication
 SendEnv
 ServerAliveInterval
 ServerAliveCountMax
 SmartcardDevice
 StrictHostKeyChecking
 TCPKeepAlive
 UsePrivilegedPort
 User
 UserKnownHostsFile
 VerifyHostKeyDNS
 -P <i>port</i>
 The port to connect to on the remote host.
 Note that this option is written with a capital 'P', because -p is already reserved for
 preserving the times and modes of the file in rcp(1).
 -p Preserves modification times, access times, and modes from the original file.
 -q Disables the progress meter.
 -r Recursively copy entire directories.
 -S <i>program</i>
 Name of program to use for the encrypted connection. The program must understand <a href=""ssh.html"">ssh</a> options.
 
 -v Verbose mode.
 Causes scp and <a href=""ssh.html"">ssh</a> to print debugging messages about their progress.
 This is helpful in debugging connection, authentication, and configuration problems. </pre>
",https://ss64.com/bash/scp.html,"File Manipulation, Remote Connectivity",File Transfer
sdiff,Merge two files interactively," sdiff -o <i>outfile</i> [<i>options</i>] <i>from-file to-file</i>
",Not Available,https://ss64.com/bash/sdiff.html,File Manipulation,
sed,Stream Editor," sed [<i>options</i>]...
"," -e <i>SCRIPT</i>
 --expression=<i>SCRIPT</i>
 Add the commands in <i>SCRIPT</i> to the set of commands to be run while
 processing the input.
 -f <i>SCRIPT-FILE</i>
 --file=<i>SCRIPT-FILE</i>
 Add the commands contained in the file SCRIPT-FILE to the set of
 commands to be run while processing the input.
 -n
 --quiet
 --silent
 By default, SED will print out the pattern space at then end of
 each cycle through the script. These options disable this
 automatic printing, and SED will only produce output when
 explicitly told to via the 'p' command.
 -h
 --help
 Print a usage message and then exit.
 -V
 --version
 Print out version info and exit.</pre>
",https://ss64.com/bash/sed.html,System Utility,
select,Accept user choices via keyboard input," select <i>name</i> [in <i>words</i> ...]; do <i>commands</i>; done</pre>
",Not Available,https://ss64.com/bash/select.html,System Utility,
seq,Print numeric sequences," seq [<i>options</i>]... [<i>FIRST</i> [<i>STEP</i>]] <i>LAST</i>...
",Not Available,https://ss64.com/bash/seq.html,System Utility,
set,Manipulate shell variables and functions," set [--abefhkmnptuvxBCEHPT] [-o <i>option-name</i>] [<i>argument</i> …]
 set [+abefhkmnptuvxBCEHPT] [+o <i>option-name</i>] [<i>argument</i> …]
",Not Available,https://ss64.com/bash/set.html,System Administration,
setfacl,Set file access control lists.," setfacl [-bkndRLPvh] [{-m|-x} acl_spec] [{-M|-X} <i>acl_file</i>] <i>file</i> ...
 setfacl --restore=<i>file</i>
"," -b, --remove-all
 Remove all extended ACL entries. The base ACL entries of the owner, group and others are retained.
 -k, --remove-default
 Remove the Default ACL. If no Default ACL exists, no warnings are issued. 
 -n, --no-mask
 Do not recalculate the effective rights mask. The default behavior of setfacl is to recalculate the ACL mask entry,
 unless a mask entry was explicitly given. The mask entry is set to the union of all permissions of the owning group,
 and all named user and group entries. (These are exactly the entries affected by the mask entry). 
 --mask
 Do recalculate the effective rights mask, even if an ACL mask entry was explicitly given. (See the -n option.) 
 -d, --default
 All operations apply to the Default ACL. Regular ACL entries in the input set are promoted to Default ACL entries.
 Default ACL entries in the input set are discarded. (A warning is issued if that happens). 
 --restore=file
 Restore a permission backup created by 'getfacl -R' or similar.
 All permissions of a complete directory subtree are restored using this mechanism.
 If the input contains owner comments or group comments, setfacl attempts to restore the owner and owning group.
 If the input contains flags comments (which define the setuid, setgid, and sticky bits), setfacl sets those
 three bits accordingly; otherwise, it clears them. This option cannot be mixed with other options except '--test'. 
 --test
 Test mode. Instead of changing the ACLs of any files, the resulting ACLs are listed. 
 -R, --recursive
 Apply operations to all files and directories recursively. This option cannot be mixed with '--restore'. 
 -L, --logical
 Logical walk, follow symbolic links to directories. The default behavior is to follow symbolic link arguments, and
 skip symbolic links encountered in subdirectories.
 Only effective in combination with -R. This option cannot be mixed with '--restore'. 
 -P, --physical
 Physical walk, do not follow symbolic links to directories. This also skips symbolic link arguments.
 Only effective in combination with -R. This option cannot be mixed with '--restore'. 
 -v, --version
 Print the version of setfacl and exit. 
 -h, --help
 Print help explaining the command line options.
 -- End of command line options. All remaining parameters are interpreted as file names, even if they start with a dash.
 - If the file name parameter is a single dash, setfacl reads a list of files from standard input.</pre>
",https://ss64.com/bash/setfacl.html,System Administration,User/Group Management
sftp,Secure File Transfer Program,Not Available,Not Available,No link available,"File Manipulation, Remote Connectivity",File Transfer
sha256sum,"Compute and check SHA256 (256-bit) checksums""", sha256sum [<i>OPTION</i>]... [<i>FILE</i>]... ,Not Available,https://ss64.com/bash/sha256sum.html,File Manipulation,Hash
shift,Shift positional parameters," shift [<i>n</i>]
",Not Available,https://ss64.com/bash/shift.html,System Utility,
shopt,Shell Options," shopt [-pqsu] [-o] [<i>optname</i> ...]
",Not Available,https://ss64.com/bash/shopt.html,System Utility,
shuf,Generate random permutations," shuf [<i>OPTION</i>]... [<i>FILE</i>]
 shuf -e [<i>OPTION</i>]... [<i>ARG</i>]...
 shuf -i LO-HI [<i>OPTION</i>]... 
"," 
 -e, --echo
 Treat each <i>ARG</i> as an input line.
 -i, --input-range=<i>LO</i>-<i>HI</i>
 Treat each number <i>LO</i> through <i>HI</i> as an input line.
 -n, --head-count=<i>COUNT</i>
 Output at most <i>COUNT</i> lines.
 This should be faster than piping all the output to <a href=""head.html"">head</a>.
 -o, --output=<i>FILE</i>
 Write result to <i>FILE</i> instead of standard output.
 --random-source=<i>FILE</i>
 Get random bytes from <i>FILE</i>.
 -z, --zero-terminated
 End lines with 0 byte, not newline.
 --help Display help and exit.
 To read the complete manual run: info coreutils aqshuf invocationaq
 --version
 Output version information and exit.</pre>
",https://ss64.com/bash/shuf.html,System Utility,
shutdown,Shutdown or restart linux," shutdown [<i>options</i>] <i>when</i> [<i>message</i>]
",Not Available,https://ss64.com/bash/shutdown.html,System Administration,
sleep,Delay for a specified time," sleep [<i>NUMBER</i> [smhd]]...
"," s : seconds (default)
 m : minutes
 h : hours
 d : days</pre>
",https://ss64.com/bash/sleep.html,System Administration,
slocate,Find files," slocate [-qi] [-d <i>path</i>] [--database=<i>path</i>] <i>search string</i>
 slocate [-i] [-r <i>regexp</i>] [--regexp=<i>regexp</i>]
 slocate [-qv] [-o <i>file</i>] [--output=<i>file</i>]
 slocate [-e <i>dir1</i>,<i>dir2</i>,...] [-f <i>fstype1</i>,...] &lt;[-l <i>level</i>] [-c] &lt;[-U <i>path</i>] [-u]>
 slocate [-Vh] [--version] [--help] 
",Not Available,https://ss64.com/bash/slocate.html,System Utility,Search
sort,Sort text files," sort [<i>options</i>] [<i>file</i>...]
 sort [<i>options</i>]... --files0-from=<i>F</i>
",Not Available,https://ss64.com/bash/sort.html,System Utility,
source,Run commands from a file '.' •," . <i>filename</i> [<i>arguments</i>]
 source <i>filename</i> [<i>arguments</i>]</pre>
",Not Available,https://ss64.com/bash/source.html,System Administration,Command Execution
split,Split a file into fixed-size pieces," split [<i>options</i>] [<i>INPUT</i> [<i>PREFIX</i>]]
",Not Available,https://ss64.com/bash/split.html,File Manipulation,
ss,Socket Statistics," ss [<i>options</i>] [<i>FILTER</i>]
",Not Available,https://ss64.com/bash/ss.html,"Networking, Enumeration",
ssh,Secure Shell client (remote login program)," ssh [-1246AaCfgKkMNnqsTtVvXxYy] [-b <i>bind_address</i>] [-c <i>cipher_spec</i>]
 [-D [<i>bind_address</i>:]<i>port</i>] [-e <i>escape_char</i>] [-F <i>configfile</i>]
 [-i <i>identity_file</i>] [-L [<i>bind_address</i>:]<i>port</i>:<i>host</i>:<i>hostport</i>]
 [-l <i>login_name</i>] [-m <i>mac_spec</i>] [-O <i>ctl_cmd</i>] [-o <i>option</i>] 
 [-p <i>port</i>] [-R [<i>bind_address</i>:]<i>port</i>:<i>host</i>:<i>hostport</i>]
 [-S ctl_path] [-w <i>local_tun</i>[:<i>remote_tun</i>]]
 [user@]hostname [<i>command</i>]</pre>
"," HostKeyAlias
 HostName
 IdentityFile
 IdentitiesOnly
 KbdInteractiveDevices
 LocalCommand
 LocalForward
 LogLevel
 MACs
 NoHostAuthenticationForLocalhost
 NumberOfPasswordPrompts
 PasswordAuthentication
 PermitLocalCommand
 Port
 PreferredAuthentications
 Protocol
 ProxyCommand
 PubkeyAuthentication
 RekeyLimit
 RemoteForward
 RhostsRSAAuthentication
 RSAAuthentication
 SendEnv
 ServerAliveInterval
 ServerAliveCountMax
 SmartcardDevice
 StrictHostKeyChecking
 TCPKeepAlive
 Tunnel
 TunnelDevice
 UsePrivilegedPort
 User
 UserKnownHostsFile
 VerifyHostKeyDNS
 VisualHostKey
 XAuthLocation
 <b>-p</b> <u>port</u>
 Port to connect to on the remote host. This can be specified on
 a per-host basis in the configuration file.
 <b>-q</b> Quiet mode. Causes most warning and diagnostic messages to be
 suppressed. Only fatal errors are displayed. If a second <b>-q</b> is
 given then even fatal errors are suppressed, except for those
 produced due solely to bad arguments.
 <b>-R</b> [<u>bind_address</u>:]<u>port</u>:<u>host</u>:<u>hostport</u>
 Specifies that the given port on the remote (server) host is to
 be forwarded to the given host and port on the local side. This
 works by allocating a socket to listen to <u>port</u> on the remote
 side, and whenever a connection is made to this port, the
 connection is forwarded over the secure channel, and a connection
 is made to <u>host</u> port <u>hostport</u> from the local machine.
 Port forwardings can also be specified in the configuration file.
 Privileged ports can be forwarded only when logging in as root on
 the remote machine. IPv6 addresses can be specified by enclosing
 the address in square braces or using an alternative syntax:
 [<u>bind_address</u>/]<u>host</u>/<u>port</u>/<u>hostport</u>.
 By default, the listening socket on the server will be bound to
 the loopback interface only. This can be overridden by
 specifying a <u>bind_address</u>. An empty <u>bind_address</u>, or the address
 ‘*’, indicates that the remote socket should listen on all
 interfaces. Specifying a remote <u>bind_address</u> will only succeed
 if the server’s <b>GatewayPorts</b> option is enabled (see
 sshd_config(5)).
 If the <u>port</u> argument is ‘0’, the listen port will be dynamically
 allocated on the server and reported to the client at run time.
 <b>-S</b> <u>ctl_path</u>
 Specifies the location of a control socket for connection
 sharing, or the string “none” to disable connection sharing.
 Refer to the description of <b>ControlPath</b> and <b>ControlMaster</b> in
 ssh_config(5) for details.
 <b>-s</b> Used to request invocation of a subsystem on the remote
 system. Subsystems are a feature of the SSH2 protocol which
 facilitate the use of SSH as a secure transport for other
 applications (eg. sftp(1)). The subsystem is specified as the
 remote command.
 <b>-T</b> Disable pseudo-tty allocation.
 <b>-t</b> Force pseudo-tty allocation. This can be used to execute
 arbitrary screen-based programs on a remote machine, which can be
 very useful, e.g. when implementing menu services. Multiple <b>-t</b>
 options force tty allocation, even if <b>ssh</b> has no local tty.
 <b>-V</b> Display the version number and exit.
 <b>-v</b> Verbose mode. Causes <b>ssh</b> to print debugging messages about its
 progress. This is helpful in debugging connection,
 authentication, and configuration problems. Multiple <b>-v</b> options
 increase the verbosity. The maximum is 3.
 <b>-w</b> <u>local_tun</u>[:<u>remote_tun</u>]
 Requests tunnel device forwarding with the specified tun(4)
 devices between the client (<u>local_tun</u>) and the server
 (<u>remote_tun</u>).
 The devices can be specified by numerical ID or the keyword
 “any”, which uses the next available tunnel device. If
 <u>remote_tun</u> is not specified, it defaults to “any”. See also the
 <b>Tunnel</b> and <b>TunnelDevice</b> directives in ssh_config(5). If the
 <b>Tunnel</b> directive is unset, it is set to the default tunnel mode,
 which is “point-to-point”.
 <b>-X</b> Enables X11 forwarding. This can also be specified on a per-host
 basis in a configuration file.
 X11 forwarding should be enabled with caution. Users with the
 ability to bypass file permissions on the remote host (for the
 user’s X authorization database) can access the local X11 display
 through the forwarded connection. An attacker could then perform
 activities such as keystroke monitoring.
 For this reason, X11 forwarding is subjected to X11 SECURITY
 extension restrictions by default. Please refer to the <b>ssh</b> <b>-Y</b>
 option and the <b>ForwardX11Trusted</b> directive in ssh_config(5) for
 more information.
 <b>-x</b> Disables X11 forwarding.
 <b>-Y</b> Enables trusted X11 forwarding. Trusted X11 forwardings are not
 subjected to the X11 SECURITY extension controls.
 <b>-y</b> Send log information using the syslog(3) system module. By
 default this information is sent to stderr.
 <b>ssh</b> can additionally obtain configuration data from a per-user
 configuration file and a system-wide configuration file. The file format
 and configuration options are described in ssh_config(5).
 <b>ssh</b> exits with the exit status of the remote command or with 255 if an
 error occurred.</pre>
 <h2>AUTHENTICATION</h2>
 attacks, which could otherwise be used to circumvent the encryption. The <b>StrictHostKeyChecking</b> option can be used to control logins to machines
 whose host key is not known or has changed.<br>
 server’s public key is presented to the user (unless the option <b>StrictHostKeyChecking</b> has been disabled). Fingerprints can be determined 
 using ssh-keygen(1):</p>
 keys visually, using <u>random</u> <u>art</u>. By setting the <b>VisualHostKey</b> option to
 “yes”, a small ASCII graphic gets displayed on every login to a server,
 no matter if the session itself is interactive or not. By learning the
 $ ssh -o ""VerifyHostKeyDNS ask"" host.example.com
 [...]
 Matching host key fingerprint found in DNS.
 Are you sure you want to continue connecting (yes/no)?
 See the <b>VerifyHostKeyDNS</b> option in ssh_config(5) for more information.</pre>
",https://ss64.com/bash/ssh.html,"System Administration, Remote Connectivity",
stat,Display file or file system status," stat [<i>OPTION</i>]... <i>FILE</i>...
"," -L, --dereference
 follow links
 -f, --file-system
 display file system status instead of file status
 -c --format=<i>FORMAT</i>
 use the specified FORMAT instead of the default; output a
 newline after each use of FORMAT
 --printf=<i>FORMAT</i>
 like --format, but interpret backslash escapes, and do not
 output a mandatory trailing newline; if you want a newline,
 include \n in FORMAT
 -t, --terse
 print the information in terse form
 --help display this help and exit
 --version
 output version information and exit
",https://ss64.com/bash/stat.html,"Enumeration, File Manipulation",
strace,Trace system calls and signals," strace [ -dDffhiqrtttTvVxx ] [ -a <i>column</i> ] [ -e <i>expr</i> ]... [ -o <i>file</i> ] [ -p <i>pid</i> ]... 
 [ -s <i>strsize</i> ] [ -u <i>username</i> ] [ -E <i>var</i>=<i>val</i> ]... [ -E <i>var</i> ]... [ <i>command</i> [ <i>arg</i>... ] ]
 strace -c [ -D ] [ -e <i>expr</i> ]... [ -O <i>overhead</i> ] [ -S <i>sortby</i> ] [ <i>command</i> [ <i>arg</i>... ] ] 
"," -a <i>column
",https://ss64.com/bash/strace.html,System Administration,
su,Substitute user identity," su [<i>options</i>]... [<i>user</i> [<i>arg</i>]...]
",Not Available,https://ss64.com/bash/su.html,System Administration,User/Group Management
sudo,Execute a command as another user," sudo -K | -L | -V | -h | -k | -l | -v 
 
 sudo [-HPSb] [-a <i>auth_type</i>] [-c <i>class</i>|-] [-p <i>prompt</i>]
 [-u username|#<i>uid</i>] {-e <i>file</i> [...] | -i | -s | <i>command</i>}
 sudoedit [-S] [-a <i>auth_type</i>] [-p <i>prompt</i>] [-u <i>username</i>|#<i>uid</i>] <i>file</i> [...] 
",Not Available,https://ss64.com/bash/sudo.html,System Administration,User/Group Management
sudoedit,Edit sudoers file," sudo -K | -L | -V | -h | -k | -l | -v 
 
 sudo [-HPSb] [-a <i>auth_type</i>] [-c <i>class</i>|-] [-p <i>prompt</i>]
 [-u username|#<i>uid</i>] {-e <i>file</i> [...] | -i | -s | <i>command</i>}
 sudoedit [-S] [-a <i>auth_type</i>] [-p <i>prompt</i>] [-u <i>username</i>|#<i>uid</i>] <i>file</i> [...] 
",Not Available,https://ss64.com/bash/sudo.html,System Administration,User/Group Management
sum,Print a checksum for a file," sum [<i>options</i>]... [file]...
",Not Available,https://ss64.com/bash/sum.html,System Utility,
suspend,Suspend execution of this shell &bull;," suspend [-f]<br>
",Not Available,https://ss64.com/bash/suspend.html,System Utility,
sync,Synchronize data on disk with memory," sync</pre>
",Not Available,https://ss64.com/bash/sync.html,System Administration,
tail,Output the last part of a file," tail [<i>options</i>]... [<i>file</i>]...
"," -c, --bytes=<i>K</i>
 Output the last K bytes; alternatively, use -c +K to output bytes starting with the <i>K</i>th of each file.
 -f, --follow[={<i>name</i>|<i>descriptor</i>}]
 Output appended data as the file grows; -f, --follow, and --follow=descriptor are equivalent
 -F
 Same as --follow=<i>name</i> --retry 
 -n, --lines=<i>K</i>
 Output the last <i>K</i> lines, instead of the last 10; or use -n +K to output lines starting with the Kth 
 --max-unchanged-stats=<i>N</i>
 With --follow=name, reopen a FILE which has not changed size after N (default 5) iterations
 to see if it has been unlinked or renamed (this is the usual case of rotated log files).
 With inotify, this option is rarely useful. 
 --pid=<i>PID</i>
 With -f, terminate after process ID, <i>PID</i> dies 
 -q, --quiet, --silent
 Never output headers giving file names 
 --retry
 Keep trying to open a file even when it is or becomes inaccessible;
 useful when following by name, i.e., with --follow=<i>name</i>
 -s, --sleep-interval=<i>N</i>
 With -f, sleep for approximately <i>N</i> seconds (default 1.0) between iterations. 
 With inotify and --pid=<i>P</i>, check process <i>P</i> at least once every <i>N</i> seconds. 
 -v, --verbose
 Always output headers giving file names 
 --help
 Display this help and exit 
 --version
 Output version information and exit</pre>
",https://ss64.com/bash/tail.html,System Utility,
tar,"Store, list or extract files in an archive"," tar [[-]<i>function</i>] [<i>options</i>] <i>filenames</i>...
 tar [[-]<i>function</i>] [<i>options</i>] -C <i>directory-name</i>...
 Command-line arguments that specify files to add to, extract from,
 or list from an archive can be given as shell pattern matching strings.
",Not Available,https://ss64.com/bash/tar.html,File Manipulation,File Compression
tee,Redirect output to multiple files," tee [<i>options</i>]... [<i>file</i>]...
",Not Available,https://ss64.com/bash/tee.html,"System Utility, File Manipulation",
test,Evaluate a conditional expression," test <i>expr</i>
 [ <i>expr</i> ]
 [[ <i>expr</i> ]]</pre>
",Not Available,https://ss64.com/bash/test.html,System Utility,
time,Measure Program running time," time [<i>option</i>...] <i>command</i> [<i>arg</i>...]
",Not Available,https://ss64.com/bash/time.html,System Utility,
timeout,Run a command with a time limit," timeout [<i>option</i>] <i>duration command</i> [<i>arg</i>]...<i>
"," <i>command</i>
 The command to execute, this must not be a special built-in utility.
 Options must precede operands.
 --preserve-status
 Return the exit status of the managed command on timeout, rather than
 a specific exit status indicating a timeout.
 This is useful if the managed command supports running for an
 indeterminite amount of time.
 --foreground
 Don't create a separate background program group, so that the
 managed command can use the foreground TTY normally.
 This is needed to support timing out commands not started directly
 from an interactive shell, in two situations.
 1) <i>command </i>is interactive and needs to read from the terminal for example.
 2) The user wants to support sending signals directly
 to <i>command </i>from the terminal (like Ctrl-C for example) 
 Note in this mode of operation, any children of <i>command</i> will not be timed out.
 -k <i>duration</i>
 --kill-after=<i>duration</i>
 Ensure the monitored command is killed by also sending a ‘KILL’ signal, after
 the specified duration.
 Without this option, if the selected signal proves not to be fatal, timeout
 does not kill the command.
 -s <i>signal</i>
 --signal=<i>signal</i>
 Send this signal to command on timeout, rather than the default ‘TERM’ signal.
 signal can be a name like ‘HUP’ or a number. See Signal specifications. 
 <i>duration</i> is a floating point number followed by an optional unit:
 ‘s’ for seconds (the default)
 ‘m’ for minutes
 ‘h’ for hours
 ‘d’ for days
 A duration of 0 disables the associated timeout.
 Note that the actual timeout duration is dependent on system conditions,
 which should be especially considered when specifying sub-second timeouts.
 --help
 Print a usage message listing all available options, then exit successfully.
 --version
 Print the version number, then exit successfully.
 -- Delimit the option list. Later arguments, if any, are treated as operands
 even if they begin with -. For example, ‘sort -- -r’ reads from the file
 named -r. 
",https://ss64.com/bash/timeout.html,System Administration,Command Execution
times,User and system times," times</pre>
",Not Available,https://ss64.com/bash/times.html,System Utility,
tmux,Terminal multiplexer," tmux [-28lquvV] [-c <i>shell-command</i>] [-f <i>file</i>] [-L <i>socket-name</i>] [-S <i>socket-path</i>] [<i>command</i> [<i>flags</i>]] 
"," -2' Force tmux to assume the terminal supports 256 colours.
 -8' Like -2, but indicates that the terminal supports 88 colours.
 -c <i>shell-command
 </i> Execute shell-command using the default shell.
 <h2> Key Bindings<br>
 </h2>
 <p> Key bindings may be changed with the bind-key and unbind-key commands.</p>
 </details>
 <h2> Key Bindings </h2>
 <blockquote>
 List all key bindings. Without -t the primary key bindings - those executed when preceded by the prefix key - are printed. Keys bound without the prefix key (see bind-key -n) are marked with '(no prefix)'.</p>
",https://ss64.com/bash/tmux.html,"System Utility, Logging",
touch,Change file timestamps," touch [<i>options</i>]... <i>File</i>...
",Not Available,https://ss64.com/bash/touch.html,"File Manipulation, Logging",
top,List processes running on the system," top <i>options</i>
",Not Available,https://ss64.com/bash/top.html,"System Administration, Enumeration",
tput,"Set terminal-dependent capabilities, color, position"," tput [-T<i>type</i>] <i>capname</i> [<i>parms</i> ... ]
 tput [-T<i>type</i>] init
 tput [-T<i>type</i>] reset
 tput [-T<i>type</i>] longname
 tput -S &lt;&lt;
 tput -V
"," -Ttype Indicates the type of terminal. Normally this option is unnecessary
 because the default is taken from the environment variable TERM.
 f -T is specified, then the shell variables LINES and COLUMNS will be
 ignored,and the operating system will not be queried for the actual screen size.
 <i>capname</i>
 Indicates the capability from the terminfo database.
 When termcap support is compiled in, the termcap name for the capability
 is also accepted.
 Typical capabilities include:
 tput setab <i>color</i> Set ANSI Background color
 tput setaf <i>color</i> Set ANSI Foreground color
 tput blink Set blink mode
 tput bold Set bold mode
 tput dim Set half-bright mode
 tput smul Set underline mode
 tput rmul Exit underline mode
 tput rev Reverse mode
 tput smso Set standout mode
 tput rmso Exit standout mode
 tput sgr0 Reset all attributes
 tput cols Display the number of columns
 tput lines Display the number of lines
 <i>parms</i> If the capability is a string that takes parameters, the arguments
 parms will be instantiated into the string.
 -S Allow more than one capability per invocation of tput. The capabilities must
 be passed to tput from the standard input instead of from the command
 line (see example). Only one capname is allowed per line.
 -V Reports the version of ncurses which was used in this program, and exits.
 init If the terminfo database is present and an entry for the user's
 terminal exists (see -Ttype, above), output the terminal's initialization strings
 and turn tabs expansion on or off according to the specification in the entry
 reset Instead of putting out initialization strings, the terminal's reset strings
 will be output if present (rs1, rs2, rs3, rf). If the reset strings are not
 present, but initialization strings are, the initialization strings will be
 output. Otherwise, reset acts identically to init.
 longname
 If the terminfo database is present and an entry for the user's terminal exists
 (see -Ttype above), then the long name of the terminal will be put out.
 The long name is the last name in the first line of the terminal's description in
 the terminfo database [see term(5)].
 If tput is invoked by a link named reset, this has the same effect as
 tput reset. See tset for comparison, which has similar behavior.</pre>
",https://ss64.com/bash/tput.html,System Utility,
traceroute,Trace Route to Host," traceroute [<i>options</i>] host [<i>packetsize</i>]
",Not Available,https://ss64.com/bash/traceroute.html,Networking,
trap,Execute a command when the shell receives a signal &bull;," trap [-lp] [[<i>arg</i>] <i>sigspec</i> ...]
"," -p Display signal commands (or trap commands for <i>sigspec</i>)
 -l Print a list of signal names and their corresponding numbers.
 arg The command to be executed when the shell receives signal(s) <i>sigspec</i>.
",https://ss64.com/bash/trap.html,System Administration,Command Execution
tr,"Translate, squeeze, and/or delete characters"," tr [<i>options</i>]... <i>SET1</i> [<i>SET2</i>]
",Not Available,https://ss64.com/bash/tr.html,File Manipulation,
true,"Do nothing, successfully"," true</pre>
",Not Available,https://ss64.com/bash/true.html,System Administration,Command Execution
tsort,Topological sort," tsort [<i>options</i>] [<i>file</i>]
",Not Available,https://ss64.com/bash/tsort.html,System Utility,
tty,Print filename of terminal on stdin," tty [<i>option</i>]...
",Not Available,https://ss64.com/bash/tty.html,System Administration,Command Execution
type,Describe a command •," type [-aftpP] <i>name</i> [<i>name</i> ...]
"," -a Print all the places that contain an executable named <i>name</i>. </pre>
",https://ss64.com/bash/type.html,System Utility,
